system   D            wsystem.c:583  maybe_parent_dir                 [   0.00088] Also searching C:\Users\usuario\Desktop\AirWar\AirWarpp\bin\
display  D   display_settings.c:191  debug_display_settings           [   0.01534] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01535] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01537] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01538] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01539] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01541] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01542] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01544] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.01546] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.01567] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.01570] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.03167] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.04040] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.04049] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.04055] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.04061] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.04066] Returning d3d_display: 00862A80
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.04068] al_display=00862A80
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.04069] al_display->vt=0081B610
dtor     D               dtor.c:184  _al_register_destructor          [   0.04252] added dtor for object 008CF8D0, func 0FEF220C
dtor     D               dtor.c:184  _al_register_destructor          [   0.04257] added dtor for object 00828190, func 0FEF1F37
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.04271] Failed loading player.png with .png handler.
